entity,description,primary_keys,foreign_keys,invariants,statuses_enums,evidence_paths
expenses,Expenses,id,,soft_delete:deletedAt; unique:[expenseNumber],paymentMethod=[CASH|CHECK|CREDIT_CARD|DEBIT_CARD|BANK_TRANSFER|OTHER],drizzle/schema.ts
featureFlagAuditLogs,UNSPECIFIED,id,flagId->featureFlags.id (onDelete:set null),,action=[created|updated|deleted|enabled|disabled|override_added|override_removed],drizzle/schema-feature-flags.ts
featureFlagRoleOverrides,UNSPECIFIED,id,flagId->featureFlags.id (onDelete:cascade); roleId->roles.id (onDelete:cascade),,,drizzle/schema-feature-flags.ts
featureFlags,Feature Flags Schema for TERP,id,,soft_delete:deletedAt; unique:[key],,drizzle/schema-feature-flags.ts
featureFlagUserOverrides,User overrides use openId (varchar) NOT numeric id,id,flagId->featureFlags.id (onDelete:cascade),,,drizzle/schema-feature-flags.ts
fiscalPeriods,Fiscal Periods,id,,soft_delete:deletedAt,status=[OPEN|CLOSED|LOCKED],drizzle/schema.ts
freeformNotes,Freeform Notes table,id,userId->users.id (onDelete:cascade),soft_delete:deletedAt,,drizzle/schema.ts
grades,Grades table,id,,soft_delete:deletedAt; unique:[name],,drizzle/schema.ts
inboxItems,Inbox Items table,id,userId->users.id (onDelete:cascade),,sourceType=[mention|task_assignment|task_update]; status=[unread|seen|completed],drizzle/schema.ts
intakeDiscrepancies,Intake Discrepancies Table,id,receiptId->intakeReceipts.id (onDelete:cascade); itemId->intakeReceiptItems.id (onDelete:cascade); resolvedBy->users.id,,,drizzle/schema.ts
intakeReceiptItems,Intake Receipt Items Table,id,receiptId->intakeReceipts.id (onDelete:cascade); productId->products.id,,,drizzle/schema.ts
intakeReceipts,Intake Receipts Table,id,supplierId->clients.id; farmerVerifiedBy->users.id; stackerVerifiedBy->users.id; finalizedBy->users.id; createdBy->users.id,unique:[receiptNumber],,drizzle/schema.ts
intakeSessionBatches,Intake Session Batches,id,intakeSessionId->intakeSessions.id (onDelete:cascade); batchId->batches.id (onDelete:cascade),,,drizzle/schema.ts
intakeSessions,Product Intake Sessions,id,vendorId->clients.id (onDelete:restrict); receivedBy->users.id (onDelete:restrict),unique:[sessionNumber],status=[IN_PROGRESS|COMPLETED|CANCELLED]; paymentTerms=[COD|NET_7|NET_15|NET_30|CONSIGNMENT|PARTIAL],drizzle/schema.ts
inventoryAlerts,Inventory Alerts Table,id,batchId->batches.id (onDelete:cascade); acknowledgedBy->users.id,,inventoryAlertType=[LOW_STOCK|EXPIRING|OVERSTOCK|SLOW_MOVING]; alertSeverity=[LOW|MEDIUM|HIGH]; alertStatus=[ACTIVE|ACKNOWLEDGED|RESOLVED],drizzle/schema.ts
inventoryMovements,Inventory Movements Table,id,batchId->batches.id (onDelete:restrict); performedBy->users.id,soft_delete:deletedAt,inventoryMovementType=[INTAKE|SALE|RETURN|REFUND_RETURN|ADJUSTMENT|QUARANTINE|RELEASE_FROM_QUARANTINE|DISPOSAL|TRANSFER|SAMPLE]; adjustmentReason=[DAMAGED|EXPIRED|LOST|THEFT|COUNT_DISCREPANCY|QUALITY_ISSUE|REWEIGH|OTHER],drizzle/schema.ts
inventoryViews,Inventory Saved Views Table,id,createdBy->users.id (onDelete:cascade),,,drizzle/schema.ts
