entity,description,primary_keys,foreign_keys,invariants,statuses_enums,evidence_paths
transactions,Base Transactions Table,id,clientId->clients.id (onDelete:cascade); createdBy->users.id,unique:[transactionNumber],transactionType=[INVOICE|PAYMENT|REFUND|CREDIT|QUOTE|ORDER|SALE]; transactionStatus=[DRAFT|PENDING|CONFIRMED|COMPLETED|PARTIAL|PAID|OVERDUE|VOID|WRITTEN_OFF],drizzle/schema.ts
unitTypes,Unit Types Table,id,,unique:[code],category=[WEIGHT|COUNT|VOLUME|PACKAGED],drizzle/schema.ts
userDashboardPreferences,User Dashboard Preferences table,id,userId->users.id (onDelete:cascade),soft_delete:deletedAt; unique:[userId],,drizzle/schema.ts
userMentions,User Mentions table,id,mentionedUserId->users.id (onDelete:cascade); mentionedById->users.id (onDelete:cascade),,sourceType=[appointment|comment|note|order|task],drizzle/schema-scheduling.ts
userPermissionOverrides,UNSPECIFIED,id,permissionId->permissions.id (onDelete:cascade),,,drizzle/schema-rbac.ts
userPreferences,User Preferences Table,id,userId->users.id (onDelete:cascade); defaultWarehouseId->locations.id (onDelete:set null); defaultLocationId->locations.id (onDelete:set null),unique:[userId],,drizzle/schema.ts
userRoles,UNSPECIFIED,id,roleId->roles.id (onDelete:cascade),,,drizzle/schema-rbac.ts
users,Core user table backing auth flow.,id,,soft_delete:deletedAt; unique:[openId],role=[user|admin],drizzle/schema.ts
variableMarkupRules,Variable Markup Rules (MEET-014),id,profileId->pricingProfiles.id (onDelete:cascade),,ruleType=[AGE|QUANTITY]; adjustmentMode=[PERCENT|FIXED],drizzle/schema.ts
vendorHarvestReminders,Vendor Harvest Reminders Table,id,vendorId->vendors.id (onDelete:cascade); createdBy->users.id; contactedBy->users.id,,status=[PENDING|CONTACTED|COMPLETED|CANCELLED],drizzle/schema.ts
vendorNotes,Vendor Notes table,id,vendorId->vendors.id (onDelete:cascade); userId->users.id,soft_delete:deletedAt,,drizzle/schema.ts
vendorPayables,Vendor Payables Table (MEET-005),id,vendorClientId->clients.id (onDelete:restrict); batchId->batches.id (onDelete:restrict); lotId->lots.id (onDelete:restrict); createdBy->users.id (onDelete:restrict),soft_delete:deletedAt; optimistic_lock:version; unique:[payableNumber],status=[PENDING|DUE|PARTIAL|PAID|VOID],drizzle/schema.ts
vendorReturnItems,WSQA-003: Vendor Return Items Table,id,vendorReturnId->vendorReturns.id (onDelete:cascade); batchId->batches.id,,,drizzle/schema.ts
vendorReturns,UNSPECIFIED,id,orderId->orders.id; vendorId->clients.id; createdBy->users.id,,status=[PENDING_VENDOR_CREDIT|CREDIT_RECEIVED|DISPUTED|CLOSED],drizzle/schema.ts
vendors,Vendors table,id,,soft_delete:deletedAt; unique:[name],,drizzle/schema.ts
vendorSupply,Vendor Supply,id,vendorId->vendors.id (onDelete:cascade); createdBy->users.id (onDelete:restrict); createdByClientId->clients.id (onDelete:restrict),soft_delete:deletedAt,strainType=[INDICA|SATIVA|HYBRID|CBD]; status=[AVAILABLE|RESERVED|PURCHASED|EXPIRED],drizzle/schema.ts
vipLeaderboardSnapshots,VIP Leaderboard Snapshots,id,clientId->clients.id (onDelete:cascade),,period=[WEEKLY|MONTHLY|QUARTERLY|YEARLY|ALL_TIME]; leaderboardType=[TOTAL_SPENT|ORDER_COUNT|REFERRALS|ACTIVITY|ACHIEVEMENTS],drizzle/schema-gamification.ts
vipPortalAuth,VIP Portal Authentication,id,clientId->clients.id (onDelete:cascade),unique:[clientId|email],,drizzle/schema-vip-portal.ts
vipPortalAuth,VIP Portal Authentication,id,clientId->clients.id (onDelete:cascade),unique:[clientId|email],,drizzle/schema-vip-portal.ts
vipPortalConfigurations,VIP Portal Configurations,id,clientId->clients.id (onDelete:cascade),unique:[clientId],,drizzle/schema-vip-portal.ts
vipPortalConfigurations,VIP Portal Configurations,id,clientId->clients.id (onDelete:cascade),unique:[clientId],,drizzle/schema-vip-portal.ts
vipTierHistory,VIP Tier History,id,clientId->clients.id (onDelete:cascade); previousTierId->vipTiers.id (onDelete:set null); newTierId->vipTiers.id (onDelete:set null); changedBy->users.id (onDelete:set null),,,drizzle/schema-vip-portal.ts
vipTiers,VIP Tiers,id,,unique:[name],,drizzle/schema-vip-portal.ts
workflowStatuses,Workflow Statuses table,id,,unique:[slug],,drizzle/schema.ts
